cover_path,stego_path,mse,psnr
covers_png/41.png,stegos_lsb/stego_41.png,15.0870,83.6869
covers_png/31.png,stegos_lsb/stego_31.png,8.9266,88.9349
covers_png/33.png,stegos_lsb/stego_33.png,5.9112,93.0567
covers_png/25.png,stegos_lsb/stego_25.png,14.7972,83.8809
covers_png/94.png,stegos_lsb/stego_94.png,74.3613,67.7359
covers_png/46.png,stegos_lsb/stego_46.png,105.8575,64.2043
covers_png/95.png,stegos_lsb/stego_95.png,23.7143,79.1645
covers_png/18.png,stegos_lsb/stego_18.png,14.7665,83.9017
covers_png/57.png,stegos_lsb/stego_57.png,70.1376,68.3207
covers_png/26.png,stegos_lsb/stego_26.png,30.6100,76.6120
covers_png/59.png,stegos_lsb/stego_59.png,201.2311,57.7807
covers_png/37.png,stegos_lsb/stego_37.png,36.8571,74.7548
covers_png/10.png,stegos_lsb/stego_10.png,3.7895,97.5030
covers_png/7.png,stegos_lsb/stego_7.png,14.2524,84.2560
covers_png/8.png,stegos_lsb/stego_8.png,9.8549,87.9456
covers_png/42.png,stegos_lsb/stego_42.png,53.5454,71.0200
covers_png/93.png,stegos_lsb/stego_93.png,103.9557,64.3856
covers_png/73.png,stegos_lsb/stego_73.png,90.8598,65.7321
covers_png/89.png,stegos_lsb/stego_89.png,121.5686,62.8205
covers_png/72.png,stegos_lsb/stego_72.png,185.9085,58.5727
covers_png/32.png,stegos_lsb/stego_32.png,10.2407,87.5616
covers_png/71.png,stegos_lsb/stego_71.png,147.3838,60.8949
covers_png/43.png,stegos_lsb/stego_43.png,59.8251,69.9110
covers_png/23.png,stegos_lsb/stego_23.png,59.4115,69.9804
covers_png/90.png,stegos_lsb/stego_90.png,2.8660,100.2960
covers_png/77.png,stegos_lsb/stego_77.png,12.0922,85.8997
covers_png/66.png,stegos_lsb/stego_66.png,39.0392,74.1796
covers_png/36.png,stegos_lsb/stego_36.png,23.7600,79.1452
covers_png/97.png,stegos_lsb/stego_97.png,139.8726,61.4180
covers_png/27.png,stegos_lsb/stego_27.png,127.4848,62.3453
covers_png/91.png,stegos_lsb/stego_91.png,226.6004,56.5934
covers_png/17.png,stegos_lsb/stego_17.png,17.7487,82.0622
covers_png/85.png,stegos_lsb/stego_85.png,67.9081,68.6437
covers_png/96.png,stegos_lsb/stego_96.png,11.7787,86.1624
covers_png/99.png,stegos_lsb/stego_99.png,11.2865,86.5892
covers_png/20.png,stegos_lsb/stego_20.png,323.1015,53.0456
covers_png/21.png,stegos_lsb/stego_21.png,5.4736,93.8258
covers_png/29.png,stegos_lsb/stego_29.png,14.9438,83.7823
covers_png/62.png,stegos_lsb/stego_62.png,193.6225,58.1662
covers_png/86.png,stegos_lsb/stego_86.png,301.9356,53.7231
covers_png/44.png,stegos_lsb/stego_44.png,3.8040,97.4647
covers_png/83.png,stegos_lsb/stego_83.png,113.9362,63.4689
covers_png/49.png,stegos_lsb/stego_49.png,8.3429,89.6112
covers_png/11.png,stegos_lsb/stego_11.png,628.9638,46.3845
covers_png/76.png,stegos_lsb/stego_76.png,3.3605,98.7045
covers_png/38.png,stegos_lsb/stego_38.png,238.7449,56.0713
covers_png/45.png,stegos_lsb/stego_45.png,473.0632,49.2330
covers_png/65.png,stegos_lsb/stego_65.png,118.5817,63.0692
covers_png/80.png,stegos_lsb/stego_80.png,10.4563,87.3532
covers_png/58.png,stegos_lsb/stego_58.png,105.3735,64.2502
covers_png/82.png,stegos_lsb/stego_82.png,54.9065,70.7689
covers_png/47.png,stegos_lsb/stego_47.png,6.0456,92.8320
covers_png/22.png,stegos_lsb/stego_22.png,83.5883,66.5662
covers_png/87.png,stegos_lsb/stego_87.png,47.7920,72.1567
covers_png/48.png,stegos_lsb/stego_48.png,7.6229,90.5137
covers_png/6.png,stegos_lsb/stego_6.png,221.9306,56.8016
covers_png/54.png,stegos_lsb/stego_54.png,75.2538,67.6166
covers_png/40.png,stegos_lsb/stego_40.png,95.4861,65.2355
covers_png/50.png,stegos_lsb/stego_50.png,15.3014,83.5458
covers_png/5.png,stegos_lsb/stego_5.png,31.3306,76.3793
covers_png/98.png,stegos_lsb/stego_98.png,35.6400,75.0906
covers_png/24.png,stegos_lsb/stego_24.png,34.0148,75.5573
covers_png/13.png,stegos_lsb/stego_13.png,11.8826,86.0745
covers_png/3.png,stegos_lsb/stego_3.png,74.7224,67.6875
covers_png/60.png,stegos_lsb/stego_60.png,25.4793,78.4466
covers_png/61.png,stegos_lsb/stego_61.png,10.1101,87.6899
covers_png/9.png,stegos_lsb/stego_9.png,21.1656,80.3015
covers_png/75.png,stegos_lsb/stego_75.png,69.2083,68.4541
covers_png/14.png,stegos_lsb/stego_14.png,30.2778,76.7211
covers_png/84.png,stegos_lsb/stego_84.png,168.6021,59.5499
covers_png/4.png,stegos_lsb/stego_4.png,1.9308,104.2460
covers_png/34.png,stegos_lsb/stego_34.png,107.4236,64.0575
covers_png/52.png,stegos_lsb/stego_52.png,19.9774,80.8792
covers_png/55.png,stegos_lsb/stego_55.png,7.1476,91.1574
covers_png/88.png,stegos_lsb/stego_88.png,54.9538,70.7603
covers_png/51.png,stegos_lsb/stego_51.png,28.0873,77.4721
covers_png/35.png,stegos_lsb/stego_35.png,13.3661,84.8981
covers_png/39.png,stegos_lsb/stego_39.png,25.6561,78.3775
covers_png/67.png,stegos_lsb/stego_67.png,66.8820,68.7960
covers_png/2.png,stegos_lsb/stego_2.png,24.4879,78.8435
covers_png/16.png,stegos_lsb/stego_16.png,8.8594,89.0105
covers_png/30.png,stegos_lsb/stego_30.png,8.5397,89.3780
covers_png/15.png,stegos_lsb/stego_15.png,33.1687,75.8092
covers_png/56.png,stegos_lsb/stego_56.png,213.0494,57.2100
covers_png/74.png,stegos_lsb/stego_74.png,51.7843,71.3544
covers_png/79.png,stegos_lsb/stego_79.png,0.0203,149.8203
covers_png/68.png,stegos_lsb/stego_68.png,6.2140,92.5572
covers_png/12.png,stegos_lsb/stego_12.png,484.1566,49.0012
covers_png/64.png,stegos_lsb/stego_64.png,14.2073,84.2877
covers_png/53.png,stegos_lsb/stego_53.png,62.3896,69.4913
covers_png/92.png,stegos_lsb/stego_92.png,64.0683,69.2258
covers_png/69.png,stegos_lsb/stego_69.png,114.1422,63.4508
covers_png/1.png,stegos_lsb/stego_1.png,84.6078,66.4450
covers_png/19.png,stegos_lsb/stego_19.png,250.3752,55.5957
covers_png/63.png,stegos_lsb/stego_63.png,29.5625,76.9602
covers_png/28.png,stegos_lsb/stego_28.png,18.2914,81.7610
covers_png/78.png,stegos_lsb/stego_78.png,37.3951,74.6099
covers_png/81.png,stegos_lsb/stego_81.png,19.3536,81.1965
covers_png/70.png,stegos_lsb/stego_70.png,23.7853,79.1346
-,-,Average_MSE:77.5883,Average_PSNR:75.5342
